Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Japan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1134.45,1172.32,1214.59,1229.82,1220.73,1256.16,1298.56,1286.53,1243.96,1136.62,1078.7,1137.35,1204.37,1168.68,1190.09,1188.83,1197.12,1189.23,1156.68,1200.81,1184.1,1157.78,1204.17,1216.15,1201.33,1185.98,1128.24,1134.81,1121.71,1106.26
Jordan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,36.57,36.21,37.07,35.26,34.96,34.49,32.34,32.02,28.46,27.52,27.78,27.04,27.78,26.28,25.48,23.96,22.35,21.77,20.98,20.88,20.31,21.24,22.04,22.52,23.29,23.66,22.56,21.83,19.08,18.63
Kazakhstan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,271.68,275.56,276.98,256.53,240.36,258.97,307.67,293.4,295.59,289.06,269.68,298.68,252.1,240.32,221.29,207.53,191.19,180.86,154.41,156.18,157.25,172.21,171.67,194.83,220.5,249.23,270.26,306.06,304.02,295.96
Kenya,Climate Watch,Total including LUCF,All GHG,MtCO₂e,73.4,61.08,60.57,64.02,74.24,71.99,69.39,67.86,68.94,73.86,72.47,72.27,71.18,54.64,54.4,54.04,51.42,50.47,49.57,30.86,31.97,29.96,28.82,29.01,29.68,29.35,29.12,29.35,29.37,30.65
Kiribati,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.12,0.12,0.12,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.08,0.1,0.09,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04
Kuwait,Climate Watch,Total including LUCF,All GHG,MtCO₂e,136.69,133.83,131.1,131.71,125.97,121.1,121.86,117.62,113.05,107.34,103.17,102.91,95.99,97.97,94.33,85.07,79.91,74.77,72.9,69.81,63.97,61.21,56.45,53.86,53.81,53.99,46.33,32.08,10.59,39.04
Kyrgyzstan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,13.64,14.79,12.71,12.93,15.88,15.39,14.82,15.32,12.72,12.04,12.41,12.8,11.64,10.39,10.31,10.62,10.48,9.84,8.87,8.47,8.52,9.92,9.68,9.8,8.9,11.59,16.76,21.57,29.17,31.46
Laos,Climate Watch,Total including LUCF,All GHG,MtCO₂e,39.42,39.26,39.37,37.79,29.52,24.85,24.68,23.42,21.53,28.65,25.0,23.6,27.97,23.09,23.99,26.72,22.46,21.88,20.79,20.31,20.43,21.76,20.03,20.38,20.03,19.98,19.62,19.6,19.29,19.38
Latvia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,8.93,9.1,8.56,8.62,8.89,8.84,8.92,9.0,9.2,-1.31,-2.46,-1.68,-1.36,-1.79,-2.33,-2.5,-2.59,-2.74,-2.78,-2.13,-1.44,-0.79,-0.37,0.2,0.21,1.88,4.85,8.03,10.7,12.42
Lebanon,Climate Watch,Total including LUCF,All GHG,MtCO₂e,35.13,34.6,35.85,33.97,32.81,30.66,28.47,28.5,25.85,25.26,26.15,22.69,18.89,19.96,20.9,21.48,20.92,20.23,20.25,18.93,20.1,19.12,18.76,16.54,15.5,13.2,12.26,8.85,8.79,7.29
Lesotho,Climate Watch,Total including LUCF,All GHG,MtCO₂e,2.53,2.53,2.52,2.36,2.34,2.3,2.32,2.44,2.38,2.31,2.3,2.21,2.27,2.2,2.26,2.09,2.15,2.09,2.27,2.29,2.37,1.91,1.92,1.94,1.99,2.06,2.09,2.12,1.96,1.96
Liberia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,15.87,15.53,15.69,15.81,16.52,15.81,15.16,15.17,15.08,14.89,15.44,14.61,14.63,14.78,14.55,14.47,14.43,14.3,14.3,14.3,14.25,14.34,14.26,14.21,14.29,14.28,14.28,14.29,14.26,14.38
Libya,Climate Watch,Total including LUCF,All GHG,MtCO₂e,126.69,121.57,112.27,90.21,90.01,97.29,114.94,132.61,75.58,137.33,130.08,133.12,128.21,131.68,129.42,119.42,114.61,105.88,106.86,110.66,105.88,109.06,109.17,116.82,113.81,105.57,91.15,83.82,92.23,87.43
Liechtenstein,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.16,0.16,0.17,0.16,0.17,0.18,0.21,0.2,0.19,0.23,0.25,0.26,0.24,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.26,0.26,0.25,0.23,0.23,0.23,0.24,0.23,0.23,0.22
Lithuania,Climate Watch,Total including LUCF,All GHG,MtCO₂e,18.3,18.28,18.2,18.28,12.78,12.52,12.99,13.89,13.97,20.6,19.79,23.38,23.94,22.93,22.8,21.67,20.71,20.54,20.19,20.25,21.95,24.71,23.82,24.03,23.25,24.84,26.87,32.77,47.54,45.75
Luxembourg,Climate Watch,Total including LUCF,All GHG,MtCO₂e,10.2,10.03,9.73,9.57,9.88,10.4,10.9,11.43,11.66,11.52,10.93,11.52,11.59,12.18,12.38,12.15,10.69,10.28,9.49,8.88,8.26,7.87,8.54,9.04,8.96,11.1,11.95,11.74,12.04,11.55
Macedonia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,11.26,10.36,10.88,10.36,10.42,10.67,11.07,11.96,12.49,11.57,11.72,12.42,12.64,12.14,12.13,11.77,11.99,11.15,11.76,11.74,12.04,12.95,12.21,13.36,11.82,12.19,12.66,12.65,13.2,13.9
Madagascar,Climate Watch,Total including LUCF,All GHG,MtCO₂e,40.22,39.67,39.59,40.4,39.48,38.7,38.84,39.93,39.22,51.25,50.59,49.57,50.83,49.38,50.76,46.64,47.75,45.26,47.63,55.54,56.83,57.13,55.93,56.55,55.92,55.42,55.66,55.27,55.01,54.98
Malawi,Climate Watch,Total including LUCF,All GHG,MtCO₂e,19.34,18.9,17.45,17.21,16.71,16.3,15.73,15.63,15.17,15.16,14.17,14.34,13.7,13.17,13.17,12.85,12.98,12.51,12.14,12.11,12.14,12.11,11.86,11.9,11.82,11.6,12.0,11.86,11.86,11.67
Malaysia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,396.11,384.04,360.65,377.38,187.53,202.09,169.28,148.39,146.34,370.38,357.81,361.34,349.26,324.08,328.0,314.12,288.92,278.81,262.89,271.82,260.08,282.08,252.65,241.31,232.31,225.19,217.44,210.77,208.08,197.12
Maldives,Climate Watch,Total including LUCF,All GHG,MtCO₂e,2.6,2.54,2.25,2.1,1.66,1.63,1.37,1.36,1.2,1.12,1.07,1.01,1.0,1.0,0.83,0.85,0.63,0.71,0.58,0.55,0.51,0.39,0.41,0.35,0.32,0.26,0.26,0.28,0.21,0.2
Mali,Climate Watch,Total including LUCF,All GHG,MtCO₂e,44.16,42.31,40.98,39.99,35.55,34.15,33.6,32.3,31.7,30.85,28.61,28.24,26.79,25.84,25.5,24.59,22.32,21.57,21.34,24.16,23.89,22.86,18.86,18.11,17.88,17.55,17.31,17.11,17.08,17.14
Malta,Climate Watch,Total including LUCF,All GHG,MtCO₂e,2.13,2.04,2.02,1.88,2.18,2.86,2.84,3.17,2.99,3.0,2.9,3.09,3.15,3.06,2.98,2.93,2.92,2.62,2.78,2.41,2.68,2.64,2.73,2.58,2.63,2.76,3.06,2.41,2.43,2.53
Marshall Islands,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.23,0.23,0.23,0.22,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.16,0.15,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.03,0.03
Mauritania,Climate Watch,Total including LUCF,All GHG,MtCO₂e,13.21,12.7,12.3,12.11,13.53,12.59,12.1,12.02,11.49,11.42,10.97,9.99,10.84,10.74,10.05,10.07,9.99,9.92,9.78,9.59,9.2,8.69,8.31,8.0,7.48,7.35,7.46,7.24,7.4,7.17
Mauritius,Climate Watch,Total including LUCF,All GHG,MtCO₂e,6.83,6.72,6.7,6.51,6.38,6.33,6.13,6.0,5.84,5.87,5.6,5.6,5.49,5.35,4.92,4.74,4.71,4.52,4.5,4.29,3.84,3.32,3.04,2.93,2.76,2.7,2.63,2.47,2.38,2.28
Mexico,Climate Watch,Total including LUCF,All GHG,MtCO₂e,670.84,669.63,688.06,689.71,681.94,663.46,674.64,687.03,679.06,576.98,559.85,569.44,564.88,552.9,532.56,508.41,499.56,473.91,464.85,558.02,530.8,546.58,513.22,490.07,471.42,491.88,465.29,447.97,445.04,426.29
Micronesia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.23,0.22,0.22,0.22,0.2,0.19,0.18,0.17,0.16,0.15,0.17,0.16,0.18,0.18,0.2,0.2,0.19,0.18,0.19,0.17,0.17,0.16,0.16,0.15,0.15,0.09,0.09,0.09,-0.02,0.01
Moldova,Climate Watch,Total including LUCF,All GHG,MtCO₂e,13.5,13.38,12.86,12.87,12.1,11.9,11.25,12.12,12.37,11.66,10.74,11.42,11.56,11.33,11.67,11.36,11.37,10.77,10.64,11.11,11.95,13.32,14.78,16.45,18.24,20.28,23.37,26.8,31.81,37.87
Mongolia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,59.15,55.74,53.86,50.97,48.65,47.1,44.63,42.18,38.82,36.07,38.8,37.72,37.5,34.77,31.86,29.1,29.3,29.54,31.34,34.62,33.46,33.36,33.73,31.57,32.25,31.33,33.13,34.34,36.57,34.33
Montenegro,Climate Watch,Total including LUCF,All GHG,MtCO₂e,3.86,3.77,3.57,3.43,3.65,3.54,3.64,3.78,4.02,0.0,-0.72,0.36,-0.08,0.13,0.08,0.28,0.27,0.14,0.04,3.68,3.42,4.0,3.9,3.76,3.51,3.37,3.4,3.58,3.57,4.14
Morocco,Climate Watch,Total including LUCF,All GHG,MtCO₂e,91.15,84.87,83.05,78.33,80.02,77.8,76.6,76.11,74.31,66.26,62.83,62.8,60.32,59.57,57.6,54.59,49.98,50.0,48.47,44.56,43.48,41.31,40.4,38.49,37.83,37.13,34.02,34.33,33.23,31.91
Mozambique,Climate Watch,Total including LUCF,All GHG,MtCO₂e,106.74,111.15,106.73,108.02,97.3,98.99,99.31,97.64,93.08,103.31,94.75,100.17,95.13,94.09,95.34,90.53,91.33,86.37,86.29,68.88,71.06,72.22,69.16,71.41,85.6,85.36,85.07,84.35,83.69,83.42
Myanmar,Climate Watch,Total including LUCF,All GHG,MtCO₂e,242.95,240.11,234.67,221.94,228.5,222.16,214.56,212.03,203.37,232.86,227.87,217.73,230.63,221.37,216.65,225.23,212.15,200.54,201.76,222.35,225.43,220.31,214.0,216.32,218.72,215.57,212.93,210.26,207.52,208.11
Namibia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,21.22,22.17,23.04,22.86,22.29,22.18,22.93,29.75,28.21,23.23,23.82,20.9,22.36,22.99,21.65,21.06,20.57,19.92,21.31,21.32,20.51,20.48,19.76,19.92,20.05,19.94,19.74,19.77,19.82,N/A
Nauru,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.08,0.07,0.07,0.08,0.09,0.09,0.1,0.1,0.11,0.11,0.11,0.12,0.12,0.12,0.13,0.13
Nepal,Climate Watch,Total including LUCF,All GHG,MtCO₂e,48.37,48.96,45.95,44.97,39.41,40.23,38.8,38.13,36.71,28.65,27.42,25.57,24.21,24.1,24.55,23.83,23.75,22.62,23.43,25.89,25.6,24.2,23.56,23.16,23.0,21.94,20.98,20.17,20.45,20.2
Netherlands,Climate Watch,Total including LUCF,All GHG,MtCO₂e,173.59,178.62,184.71,188.71,187.82,179.56,186.76,187.09,188.71,201.63,190.97,196.04,198.71,199.22,203.87,209.65,207.92,207.98,208.19,207.4,209.39,221.68,221.47,229.53,218.67,213.45,213.82,208.48,209.14,203.82
New Zealand,Climate Watch,Total including LUCF,All GHG,MtCO₂e,72.59,71.19,71.83,70.2,65.47,65.61,65.09,65.46,62.91,57.23,57.42,60.23,60.39,61.5,61.33,59.85,61.2,58.71,57.06,51.3,51.12,48.87,50.51,48.02,47.66,46.41,44.93,45.74,44.91,45.24
Nicaragua,Climate Watch,Total including LUCF,All GHG,MtCO₂e,38.41,37.87,37.8,38.05,29.28,28.36,27.42,27.16,26.8,38.31,37.93,37.88,37.99,37.83,37.65,37.18,37.71,36.55,36.09,31.99,31.43,30.87,29.91,29.08,29.06,29.68,29.37,28.7,27.8,29.16
Niger,Climate Watch,Total including LUCF,All GHG,MtCO₂e,43.96,42.06,40.22,38.79,37.08,35.87,34.17,32.4,30.36,29.34,29.23,27.89,26.67,25.48,24.55,23.65,22.78,21.88,21.09,24.83,24.31,23.72,22.78,22.12,21.37,20.79,20.29,19.63,19.14,18.68
Nigeria,Climate Watch,Total including LUCF,All GHG,MtCO₂e,354.33,345.7,340.02,335.84,325.43,331.28,321.55,307.78,304.25,293.77,268.87,282.6,276.61,285.92,298.02,293.44,293.2,273.79,289.5,293.25,282.05,293.97,310.65,320.13,294.62,290.32,295.34,298.58,283.9,267.92
Niue,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
North Korea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,82.69,76.86,80.47,55.35,50.21,56.61,52.46,63.26,61.65,74.37,77.54,94.1,85.96,98.63,96.52,93.21,90.98,89.14,92.1,93.67,90.14,86.03,94.38,102.31,114.02,121.52,130.75,139.97,153.89,161.17
Norway,Climate Watch,Total including LUCF,All GHG,MtCO₂e,26.98,28.59,28.77,29.78,30.33,29.94,30.27,29.36,30.56,28.59,24.71,25.14,26.45,26.14,25.84,26.88,26.59,24.56,25.06,32.63,38.19,36.22,34.97,33.23,33.06,33.1,31.15,28.7,28.48,31.08
Oman,Climate Watch,Total including LUCF,All GHG,MtCO₂e,100.28,99.54,94.41,94.74,91.48,87.04,83.47,79.52,71.3,63.88,59.53,56.6,57.0,54.05,45.58,45.46,46.15,44.19,42.41,38.55,34.25,31.32,32.08,30.82,29.92,26.6,24.71,23.33,23.55,19.44
Pakistan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,439.49,428.62,432.92,406.11,379.96,365.57,352.33,340.73,336.67,329.41,335.35,324.73,322.3,304.82,285.37,276.72,258.99,249.66,243.29,240.86,238.55,225.55,221.75,215.08,207.99,197.22,190.59,180.84,171.26,167.9
Palau,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.29,0.28,0.29,0.28,0.23,0.24,0.25,0.24,0.23,0.23,0.22,0.23,0.26,0.27,0.28,0.25,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.01,0.01
Panama,Climate Watch,Total including LUCF,All GHG,MtCO₂e,25.3,21.9,21.74,22.29,22.06,22.07,21.64,21.66,20.96,19.86,19.23,17.64,17.53,17.52,16.99,15.34,15.34,15.05,15.78,16.0,15.91,16.77,15.69,15.75,15.76,15.56,15.27,15.01,14.34,13.85
Papua New Guinea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,63.47,63.62,63.11,63.03,62.33,59.67,58.1,56.92,56.23,48.18,48.18,48.09,48.96,49.16,49.4,50.57,49.11,49.12,48.32,48.4,47.02,45.88,59.44,44.89,45.47,41.95,41.07,40.01,38.96,37.96
Paraguay,Climate Watch,Total including LUCF,All GHG,MtCO₂e,96.6,94.62,96.46,93.51,114.67,114.27,112.43,110.84,109.62,96.54,94.06,92.02,93.92,90.67,90.51,89.16,91.31,89.59,89.37,73.27,77.91,74.8,74.67,73.5,73.58,71.61,71.65,71.46,72.17,75.18
Peru,Climate Watch,Total including LUCF,All GHG,MtCO₂e,190.66,187.8,187.47,189.98,186.12,184.4,180.65,178.76,178.45,150.21,145.51,141.38,136.45,132.47,133.05,131.45,127.39,127.46,125.53,122.42,121.81,117.59,116.73,115.78,112.07,107.16,104.78,103.71,103.05,104.15
Philippines,Climate Watch,Total including LUCF,All GHG,MtCO₂e,236.79,229.42,223.54,207.41,194.8,185.86,178.26,167.31,162.25,160.48,154.88,152.18,148.95,143.02,149.78,148.7,145.27,142.02,140.35,141.19,139.76,134.56,141.12,132.97,124.44,112.5,105.28,99.86,97.84,97.98
Poland,Climate Watch,Total including LUCF,All GHG,MtCO₂e,320.23,337.7,339.46,326.54,321.5,318.34,331.54,337.34,344.31,303.69,285.25,300.04,306.25,305.72,291.35,289.93,285.78,274.29,280.73,341.25,354.92,365.47,394.45,404.83,390.21,390.47,395.62,395.06,406.01,407.18
Portugal,Climate Watch,Total including LUCF,All GHG,MtCO₂e,61.7,66.75,71.85,66.88,66.72,62.61,63.02,64.7,66.4,68.68,74.08,74.87,77.13,78.52,83.78,80.7,78.82,83.66,78.64,80.24,80.72,74.02,68.82,66.5,68.09,64.33,62.42,63.51,59.47,57.74
Qatar,Climate Watch,Total including LUCF,All GHG,MtCO₂e,114.76,109.18,110.06,109.37,106.79,103.59,98.53,96.61,88.22,78.53,69.56,67.81,63.23,55.81,49.7,48.26,44.95,41.4,37.54,38.0,37.4,34.45,33.13,26.48,24.01,23.3,20.81,18.02,18.43,15.38
Republic of Congo,Climate Watch,Total including LUCF,All GHG,MtCO₂e,30.07,28.94,26.13,25.94,25.08,24.19,24.88,25.12,25.68,25.65,23.77,22.77,22.33,24.55,23.05,20.94,20.28,18.64,20.89,21.55,21.41,20.92,19.54,19.01,18.9,18.01,19.05,19.6,19.42,19.43
Romania,Climate Watch,Total including LUCF,All GHG,MtCO₂e,78.36,79.91,79.25,76.46,-184.27,-186.55,-185.86,-176.58,-174.27,103.54,106.4,122.18,124.2,126.55,122.97,123.55,125.19,120.27,123.19,121.63,117.65,133.45,149.46,161.04,157.38,151.83,155.93,166.73,186.41,224.74
Russia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1924.82,1868.15,1769.69,1733.91,1602.81,1621.85,1633.1,1674.58,1693.96,1521.96,1427.44,1570.09,1559.85,1553.64,1513.85,1491.42,1498.74,1422.39,1423.46,1812.87,1759.66,1725.07,1723.24,1874.95,1918.33,1995.87,2233.86,2428.18,2585.28,2648.36
Rwanda,Climate Watch,Total including LUCF,All GHG,MtCO₂e,7.0,6.91,6.8,6.74,6.83,6.18,6.15,6.0,5.87,6.87,6.62,6.51,6.33,6.12,5.85,5.74,5.61,5.41,5.31,5.38,5.35,5.16,5.01,4.88,4.73,4.95,5.08,5.15,5.2,5.21
Saint Kitts and Nevis,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.35,0.35,0.34,0.34,0.33,0.32,0.32,0.43,0.38,0.34,0.8,0.34,0.34,0.32,0.31,0.32,0.31,0.32,0.29,0.28,0.27,0.27,0.25,0.24,0.23,0.23,0.21,0.23,0.19,0.18
Saint Lucia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.74,0.72,0.72,0.69,0.68,0.68,0.67,0.91,0.74,0.71,1.53,0.65,0.64,0.63,0.59,0.59,0.58,0.57,0.56,0.51,0.6,0.69,0.77,0.85,0.91,0.96,0.91,0.9,0.79,0.76
Saint Vincent and the Grenadines,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.34,0.34,0.31,0.34,0.33,0.35,0.31,0.44,0.35,0.33,0.97,0.34,0.35,0.33,0.33,0.32,0.31,0.31,0.28,0.2,0.22,0.23,0.19,0.18,0.18,0.17,0.15,0.15,0.11,0.11
Samoa,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.79,0.78,0.79,0.78,0.71,0.67,0.65,0.64,0.64,0.62,0.59,0.58,0.61,0.61,0.62,0.6,0.58,0.58,0.57,0.54,0.54,0.54,0.52,0.52,0.5,0.49,0.47,0.45,0.45,0.44
Sao Tome and Principe,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.4,0.39,0.39,0.38,0.37,0.37,0.37,0.36,0.34,0.14,0.13,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Saudi Arabia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,723.15,715.23,729.31,739.82,731.89,698.29,654.85,638.88,601.75,569.68,524.11,511.98,471.68,451.62,428.81,408.2,391.35,369.76,351.28,347.62,330.98,327.05,310.73,304.34,288.63,289.3,289.62,291.77,274.22,241.01
Senegal,Climate Watch,Total including LUCF,All GHG,MtCO₂e,33.6,32.33,31.93,31.79,29.82,28.9,28.36,27.18,27.61,28.54,27.5,27.03,26.09,25.94,25.53,24.81,22.68,23.37,23.91,24.78,24.81,22.62,21.42,20.93,19.69,19.41,19.09,18.84,18.4,18.1
Serbia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,61.86,61.5,63.27,62.87,58.66,52.34,60.35,59.63,64.48,27.4,27.87,30.33,32.57,33.63,31.42,37.96,32.73,29.52,26.16,57.71,54.92,72.07,72.45,67.44,60.06,53.57,57.52,62.85,69.09,79.56
Seychelles,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.78,0.74,0.73,0.72,0.65,0.6,0.54,0.55,0.53,0.56,0.56,0.52,0.51,0.49,0.48,0.48,0.44,0.44,0.41,0.38,0.4,0.38,0.36,0.31,0.28,0.28,0.26,0.24,0.24,0.22
Sierra Leone,Climate Watch,Total including LUCF,All GHG,MtCO₂e,9.45,9.72,10.14,10.28,10.54,10.4,9.86,9.91,8.79,8.17,8.44,8.1,8.87,9.6,8.15,8.18,7.76,6.83,6.46,5.96,5.9,6.18,6.08,6.13,6.86,7.08,7.09,7.01,7.01,7.01
Singapore,Climate Watch,Total including LUCF,All GHG,MtCO₂e,67.26,66.56,67.59,63.81,62.33,60.61,59.45,58.56,58.96,55.9,52.16,51.62,51.33,50.07,49.63,52.36,50.88,54.0,54.74,54.82,49.97,48.75,49.41,49.32,47.93,46.62,43.09,36.63,34.0,30.86
Slovakia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,37.0,38.81,39.37,37.44,30.04,29.61,32.25,31.59,33.95,34.66,33.13,36.77,36.74,37.7,38.14,37.31,38.0,37.74,38.19,36.55,39.17,40.63,41.77,41.91,41.9,41.32,44.0,46.63,49.16,57.24
Slovenia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,16.81,17.32,17.45,17.26,13.48,13.38,14.88,15.51,16.12,7.29,6.99,8.97,7.99,8.02,7.69,7.44,7.23,7.27,7.19,8.38,8.58,9.24,9.5,9.03,8.23,7.4,7.35,6.61,6.89,7.9
Solomon Islands,Climate Watch,Total including LUCF,All GHG,MtCO₂e,46.36,46.33,46.3,46.27,-17.04,-17.02,-16.99,-17.04,-17.06,2.43,2.41,2.39,2.39,2.38,2.37,2.33,2.29,2.27,2.25,4.45,4.43,4.42,4.4,4.39,4.37,4.36,4.34,4.32,4.31,4.3
Somalia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,42.51,42.8,42.84,43.01,43.12,43.06,42.92,42.8,42.5,42.34,42.14,42.11,42.09,43.19,44.46,44.02,43.72,43.49,43.1,42.55,42.38,42.31,42.47,42.08,41.64,40.98,39.04,37.06,39.0,41.89
South Africa,Climate Watch,Total including LUCF,All GHG,MtCO₂e,562.19,556.72,557.46,542.89,542.51,567.33,554.77,544.98,524.74,540.67,517.89,539.07,506.16,484.91,482.27,482.0,453.49,429.46,414.37,380.86,377.11,397.51,388.88,372.46,361.11,348.23,341.31,330.74,334.52,338.43
South Korea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,652.66,669.7,662.63,648.88,633.4,612.48,622.99,622.55,619.12,585.4,533.37,519.43,506.54,496.62,488.31,492.96,469.04,461.26,468.7,469.57,411.56,373.64,438.91,412.98,384.86,351.89,323.65,291.96,266.53,238.32
South Sudan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,60.33,67.14,64.25,66.77,63.08,62.57,60.64,59.76,74.6,78.26,79.04,76.95,75.93,71.94,72.94,69.63,67.14,64.26,60.36,65.31,62.91,59.52,54.21,49.29,45.11,44.32,42.32,40.4,37.97,37.09
Spain,Climate Watch,Total including LUCF,All GHG,MtCO₂e,293.08,311.0,318.4,301.85,317.43,306.84,308.14,334.52,340.89,330.13,345.31,382.06,415.37,399.09,405.09,390.45,374.33,365.33,348.63,326.92,309.6,285.01,275.57,254.12,260.74,247.01,234.11,248.91,239.06,232.97
Sri Lanka,Climate Watch,Total including LUCF,All GHG,MtCO₂e,37.9,35.61,36.38,35.79,33.89,30.0,27.22,29.77,28.22,27.23,25.97,26.81,26.56,25.64,27.22,25.28,25.14,23.96,23.07,25.45,26.21,26.79,29.28,31.27,31.37,31.25,30.47,30.16,28.39,28.54
Sudan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,127.07,127.26,126.52,127.12,124.4,121.05,119.96,119.76,118.69,115.74,117.75,116.03,115.79,110.36,111.04,106.17,103.12,100.73,95.62,107.36,107.32,102.95,95.82,87.7,82.87,81.69,77.03,75.11,71.5,70.66
Suriname,Climate Watch,Total including LUCF,All GHG,MtCO₂e,13.83,13.27,13.63,14.08,12.71,12.6,12.19,12.34,11.86,7.32,6.99,6.85,6.66,6.77,6.82,6.64,6.29,6.06,6.6,6.18,6.89,6.83,6.77,6.79,6.68,6.56,6.52,6.58,6.47,6.11
Sweden,Climate Watch,Total including LUCF,All GHG,MtCO₂e,29.87,30.88,33.42,33.74,28.65,28.72,30.02,31.8,34.58,49.72,44.06,47.94,49.09,51.15,52.64,56.26,57.68,56.65,55.28,69.99,74.0,75.3,74.48,80.68,75.09,75.49,73.66,73.7,71.12,70.51
Switzerland,Climate Watch,Total including LUCF,All GHG,MtCO₂e,44.26,44.37,45.64,46.62,46.14,46.91,50.72,49.7,48.39,52.36,50.79,52.23,50.6,52.53,52.81,52.09,51.6,50.37,52.02,51.26,52.01,51.88,50.33,51.78,51.17,50.24,51.12,53.47,53.55,51.33
Syria,Climate Watch,Total including LUCF,All GHG,MtCO₂e,48.48,48.26,51.39,47.45,46.26,48.33,54.06,77.32,96.65,102.7,101.55,105.2,104.65,101.67,99.05,88.62,93.33,93.17,91.84,92.63,92.56,93.18,89.3,88.33,85.88,82.3,78.99,76.27,72.59,64.35
Tajikistan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,17.38,16.5,15.13,13.73,12.02,11.42,9.88,9.46,8.66,8.44,8.35,8.67,8.29,7.58,7.09,7.02,6.47,6.32,6.29,6.65,7.02,7.51,7.59,7.35,8.0,8.61,11.12,13.98,17.01,17.9
Tanzania,Climate Watch,Total including LUCF,All GHG,MtCO₂e,154.89,151.98,152.72,153.6,142.55,136.29,135.57,133.67,129.05,127.25,124.18,122.02,119.4,117.28,122.53,116.56,117.4,109.07,103.58,98.85,101.45,101.34,97.12,97.46,104.12,99.96,99.22,98.6,98.48,98.2
Thailand,Climate Watch,Total including LUCF,All GHG,MtCO₂e,437.18,421.41,417.99,411.08,387.86,383.84,387.42,376.44,353.49,319.84,299.82,301.42,299.11,285.23,282.26,276.36,253.55,240.89,228.77,264.0,263.28,253.85,273.2,266.46,246.29,227.75,212.79,196.73,185.0,173.05
Timor-Leste,Climate Watch,Total including LUCF,All GHG,MtCO₂e,6.38,6.56,6.81,7.1,7.27,7.32,7.35,7.38,7.39,7.5,7.2,6.88,6.51,6.22,5.87,4.88,4.09,3.24,2.18,1.12,1.05,1.16,1.15,1.14,1.12,1.1,1.02,0.99,0.99,0.92
