Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Bhutan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.36,0.37,0.3,0.26,0.11,0.06,0.03,0.06,-0.04,-5.49,-5.61,-5.68,-5.51,-5.58,-5.57,-5.68,-5.73,-5.74,-5.75,-5.7,-5.64,-5.7,-5.72,-5.71,-5.72,-5.8,-5.81,-5.82,-5.78,-5.82
Bolivia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,138.72,129.59,129.2,130.37,119.65,116.72,115.92,115.3,114.44,125.46,103.65,105.2,109.88,104.81,102.69,106.63,93.95,96.39,90.52,111.04,120.36,114.65,114.73,112.28,111.42,112.83,113.6,114.91,114.11,112.97
Bosnia and Herzegovina,Climate Watch,Total including LUCF,All GHG,MtCO₂e,24.5,26.01,26.0,25.73,21.17,20.95,23.47,23.69,25.48,26.41,26.38,26.13,24.2,23.05,21.15,20.46,19.39,18.86,18.71,22.05,18.27,18.31,15.49,10.58,9.55,9.64,20.07,23.49,30.81,33.53
Botswana,Climate Watch,Total including LUCF,All GHG,MtCO₂e,52.34,54.01,56.22,52.43,53.52,54.09,55.38,54.43,67.14,62.29,51.86,60.95,52.21,53.96,52.14,50.73,50.12,57.23,56.89,55.06,55.37,55.38,55.66,56.11,54.76,53.86,53.63,53.97,53.74,54.33
Brazil,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1451.63,1434.51,1475.82,1455.86,1366.89,1384.99,1344.89,1319.48,1276.46,2109.66,2009.23,2036.17,2032.89,1998.22,2006.42,1993.39,1946.72,1932.79,1897.8,1809.18,1807.27,1796.63,1761.29,1729.84,1724.55,1697.94,1681.12,1669.79,1659.83,1638.68
Brunei,Climate Watch,Total including LUCF,All GHG,MtCO₂e,9.63,10.14,9.83,9.42,8.77,9.56,9.58,9.8,9.83,10.49,11.2,11.4,10.54,11.03,8.32,8.47,9.02,7.87,7.91,7.96,7.54,11.83,8.49,7.87,7.9,7.51,7.22,6.8,6.51,6.3
Bulgaria,Climate Watch,Total including LUCF,All GHG,MtCO₂e,17.48,19.42,22.63,20.39,45.14,42.43,39.85,45.0,50.74,33.41,31.76,39.25,41.66,37.46,37.51,37.52,38.77,33.91,36.59,36.03,36.57,43.39,46.97,50.06,49.49,48.27,52.22,53.66,59.48,76.47
Burkina Faso,Climate Watch,Total including LUCF,All GHG,MtCO₂e,56.31,55.25,54.46,53.52,33.91,33.02,32.52,31.57,30.86,40.94,39.35,38.66,37.77,37.13,37.17,36.53,35.99,32.54,31.84,29.92,28.58,28.69,27.83,27.27,27.34,26.96,26.5,26.25,25.96,25.52
Burundi,Climate Watch,Total including LUCF,All GHG,MtCO₂e,8.04,8.35,8.11,7.5,2.21,2.18,2.2,1.79,1.71,6.43,6.08,5.94,5.81,5.74,5.59,5.52,5.47,5.48,5.49,7.61,7.56,7.45,7.41,7.34,7.31,7.14,7.24,7.26,7.26,7.2
Cambodia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,71.77,70.41,69.86,67.5,100.83,98.65,98.19,98.06,99.81,35.74,36.69,35.17,35.34,34.34,30.9,32.48,31.67,29.25,26.9,26.37,28.03,28.44,24.92,23.59,27.34,24.7,25.87,25.06,24.53,24.83
Cameroon,Climate Watch,Total including LUCF,All GHG,MtCO₂e,124.79,124.2,123.47,123.63,122.13,120.69,119.88,118.11,117.84,126.0,125.44,125.57,125.17,124.49,126.91,124.41,127.33,124.44,124.45,138.76,137.23,138.27,134.42,133.83,132.57,132.54,79.22,81.53,81.74,73.61
Canada,Climate Watch,Total including LUCF,All GHG,MtCO₂e,774.29,776.5,757.38,740.67,841.22,842.14,834.47,822.51,821.99,971.61,954.58,989.56,1014.19,980.87,992.1,977.9,981.22,959.31,938.32,712.83,695.27,696.18,679.96,668.42,646.48,631.24,613.16,617.15,602.81,606.91
Cape Verde,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.75,0.71,0.68,0.66,0.61,0.61,0.61,0.63,0.66,0.67,0.64,0.59,0.57,0.61,0.55,0.45,0.41,0.38,0.34,-0.14,-0.16,-0.19,-0.22,-0.23,-0.21,-0.25,-0.23,-0.24,-0.27,-0.29
CÃ´te d'Ivoire,Climate Watch,Total including LUCF,All GHG,MtCO₂e,51.51,50.74,51.0,50.65,49.29,48.52,48.61,47.15,45.5,45.83,46.14,47.58,48.0,48.52,49.6,48.33,49.94,52.64,52.27,87.08,87.08,84.88,84.08,82.32,81.5,80.58,77.75,75.07,72.44,69.72
Central African Republic,Climate Watch,Total including LUCF,All GHG,MtCO₂e,46.58,53.3,53.24,58.03,50.84,48.84,51.71,53.08,57.77,55.27,47.78,58.52,58.82,56.57,57.62,51.24,62.24,48.19,52.36,44.24,43.02,46.75,41.55,38.25,49.61,49.48,46.98,46.94,46.89,46.57
Chad,Climate Watch,Total including LUCF,All GHG,MtCO₂e,105.68,103.21,98.71,97.2,95.01,89.57,86.98,85.0,81.2,69.51,65.41,64.78,64.0,61.49,59.88,58.06,54.46,54.85,50.59,46.59,46.5,44.67,40.11,38.41,35.21,34.18,33.21,32.21,31.33,24.92
